timeStamp,Err,PWR_SUM,MAX_Err,Inlet
363.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
726.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1089.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1452.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1815.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
2178.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
2541.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2604.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2667.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2730.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
